name;position
Coleman, Mr. Albert Edward;Victualling crew
Coleman, Mr. John;Victualling crew
Colgan, Mr. E. Joseph;Victualling crew
Collins, Mr. John;Victualling crew
Conway, Mr. P.W.;Victualling crew
Cook, Mr. George;Victualling crew
Coombs, Mr. Augustus Charles;Victualling crew
Corben, Mr. Ernest Theodore;Victualling crew
Coutin, Mr. Auguste Louis;Victualling crew
Cox, Mr. William Denton;Victualling crew
Crafter, Mr. Frederick;Victualling crew
Crawford, Mr. Alfred;Victualling crew
Crisp, Mr. Albert Hector;Victualling crew
Crispin, Mr. William;Victualling crew
Crosby, Mr. J. Bertram;Victualling crew
Crowe, Mr. George Frederick;Victualling crew
Crumplin, Mr. Charles;Victualling crew
Cullen, Mr. Charles;Victualling crew
Cunningham, Mr. Andrew;Victualling crew
Daniels, Mr. Sidney Edward;Victualling crew
Dashwood, Mr. William George;Victualling crew
Davies, Mr. Gordon Raleigh;Victualling crew
Davies, Mr. John James;Victualling crew
Davies, Mr. Robert J.;Victualling crew
Dean, Mr. George H.;Victualling crew
Deeble, Mr. Alfred Arnold;Victualling crew
Derrett, Mr. Albert;Victualling crew
Deslands, Mr. Percival Stainer;Victualling crew
Desvernine, Mr. Louis Gabriel;Victualling crew
Dinenage, Mr. James Richard;Victualling crew
Dodd, Mr. George Charles;Victualling crew
Dolby, Mr. Joseph;Victualling crew
Donoghue, Mr. Frank;Victualling crew
Doughty, Mr. W.;Victualling crew
Dunford, Mr. William;Victualling crew
Dyer, Mr. William;Victualling crew
Edbrooke, Mr. F.;Victualling crew
Ede, Mr. George B.;Victualling crew
Edge, Mr. Frederick William;Victualling crew
Edwards, Mr. Clement;Victualling crew
Egg, Mr. W.H.;Victualling crew
Ellis, Mr. John Bertram;Victualling crew
Ennis, Mr. Walter;Victualling crew
Etches, Mr. Henry Samuel;Victualling crew
Evans, Mr. George Richard;Victualling crew
Fairall, Mr. Henry;Victualling crew
Farrenden, Mr. Ernest John;Victualling crew
Faulkner, Mr. William Stephen;Victualling crew
Fellowes, Mr. Alfred J.;Victualling crew
Feltham, Mr. G.;Victualling crew
Finch, Mr. Harry;Victualling crew
Fletcher, Mr. Peter W.;Victualling crew
Foley, Mr. William C.;Victualling crew
Ford, Mr. Ernest;Victualling crew
Ford, Mr. F.;Victualling crew
Fox, Mr. William Thomas;Victualling crew
Franklin, Mr. Alan Vincent;Victualling crew
Freeman, Mr. Ernest Edward Samuel;Victualling crew
Geddes, Mr. Richard Charles;Victualling crew
Gibbons, Mr. Jacob William;Victualling crew
Giles, Mr. John Robert;Victualling crew
Gill, Mr. Joseph Stanley;Victualling crew
Gill, Mr. Patrick;Victualling crew
Gold, Mrs. Katherine (née Cook);Victualling crew
Gollop, Mr. F.;Victualling crew
Goshawk, Mr. Arthur James;Victualling crew
Gregson, Miss Mary;Victualling crew
Gunn, Mr. Joseph Alfred;Victualling crew
Guy, Mr. Edward John;Victualling crew
Halford, Mr. Richard;Victualling crew
Hall, Mr. F.A.J.;Victualling crew
Hamblyn, Mr. Ernest William;Victualling crew
Hamilton, Mr. Ernest;Victualling crew
Harding, Mr. A.;Victualling crew
Hardwick, Mr. Reginald;Victualling crew
Hardy, Mr. John T.;Victualling crew
Harris, Mr. Charles William;Victualling crew
Harris, Mr. Clifford Henry;Victualling crew
Harris, Mr. Edward;Victualling crew
Harrison, Mr. Aragon D.;Victualling crew
Hart, Mr. John Edward;Victualling crew
Hartnell, Mr. Frederick;Victualling crew
Hatch, Mr. Hugh;Victualling crew
Hawkesworth, Mr. James;Victualling crew
Hawkesworth, Mr. William Walter;Victualling crew
Hayter, Mr. Arthur;Victualling crew
Heinen, Mr. Joseph;Victualling crew
Hendy, Mr. Edward Martin;Victualling crew
Hensford, Mr. Herbert George;Victualling crew
Hewett, Mr. Thomas;Victualling crew
Hill, Mr. H.P.;Victualling crew
Hill, Mr. James Colston;Victualling crew
Hinckley, Mr. George;Victualling crew
Hine, Mr. William Edward;Victualling crew
Hiscock, Mr. S.;Victualling crew
Hoare, Mr. Leonard James;Victualling crew
Hogg, Mr. Charles William;Victualling crew
Hogue, Mr. E.;Victualling crew
Holland, Mr. Thomas;Victualling crew
Holloway, Mr. Sidney;Victualling crew
Hopkins, Mr. F.;Victualling crew
House, Mr. William;Victualling crew
Howell, Mr. Arthur Albert;Victualling crew
Hughes, Mr. William Thomas;Victualling crew
Humby, Mr. Frederick;Victualling crew
Humphreys, Mr. Thomas Humphrey;Victualling crew
Hutchinson, Mr. James;Victualling crew
Hyland, Mr. Leo James;Victualling crew
Ide, Mr. Harry John;Victualling crew
Ingrouille, Mr. Henry;Victualling crew
Ings, Mr. William Ernest;Victualling crew
Jackson, Mr. Cecil;Victualling crew
Janaway, Mr. William Frank;Victualling crew
Jenner, Mr. Harry;Victualling crew
Jensen, Mr. Charles Valdemar;Victualling crew
Jessop, Miss Violet Constance;Victualling crew
Johnson Thorne, Mr. Harry;Victualling crew
Johnston, Mr. James;Victualling crew
Jones, Mr. Albert;Victualling crew
Jones, Mr. Arthur Ernest;Victualling crew
Jones, Mr. H.;Victualling crew
Jones, Mr. Reginald V.;Victualling crew
Joughin, Mr. Charles John;Victualling crew
Keen, Mr. Percy Edward;Victualling crew
Kelland, Mr. Thomas;Victualling crew
Kennell, Mr. Charles;Victualling crew
Kerley, Mr. William Thomas;Victualling crew
Ketchley, Mr. Henry;Victualling crew
Kieran, Mr. James W.;Victualling crew
Kieran, Mr. Michael;Victualling crew
King, Mr. Alfred;Victualling crew
King, Mr. Ernest Waldron;Victualling crew
King, Mr. G.;Victualling crew
Kingscote, Mr. William Ford;Victualling crew
Kirkaldy, Mr. Thomas;Victualling crew
Kitching, Mr. Arthur Alfred;Victualling crew
Klein, Mr. Herbert;Victualling crew
